City Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Bambanglipuro,87,ID,1651962660,89,-7.95,110.2833,77.0,3.33
Broken Hill,0,AU,1651962661,87,-31.95,141.4333,44.31,0.0
Rawson,40,AR,1651962476,36,-43.3002,-65.1023,72.25,7.36
Usinsk,99,RU,1651962661,99,65.9939,57.5281,34.54,10.92
Kruisfontein,97,ZA,1651962662,79,-34.0033,24.7314,54.88,5.06
Borova,95,UA,1651962662,63,50.1763,30.1043,59.25,9.69
Lynn Haven,0,US,1651962663,64,30.2455,-85.6483,81.03,12.66
Petropavlovsk-Kamchatskiy,0,RU,1651962663,44,53.0452,158.6483,55.99,2.24
San Jose,40,US,1651962428,46,37.3394,-121.895,71.85,21.85
Lebu,5,CL,1651962664,90,-37.6167,-73.65,53.58,4.56
Sabang,100,ID,1651962478,78,5.8933,95.3214,81.45,7.29
Bandrele,40,YT,1651962664,89,-12.9067,45.1914,78.55,3.44
Hopkinsville,98,US,1651962643,75,36.8656,-87.4886,63.91,3.0
Dikson,96,RU,1651962665,97,73.5069,80.5464,5.27,10.07
Xining,100,CN,1651962665,65,36.6167,101.7667,49.3,2.28
Tepusteca,84,HN,1651962665,77,15.4167,-86.3167,78.37,2.08
Betioky,41,MG,1651962666,80,-23.7167,44.3833,68.22,0.65
Nakło nad Notecią,76,PL,1651962666,93,53.1421,17.6018,53.44,6.78
Ulundi,9,ZA,1651962667,95,-28.3352,31.4162,58.8,3.24
Salalah,40,OM,1651962667,83,17.0151,54.0924,82.49,4.61
Lhokseumawe,100,ID,1651962668,89,5.1801,97.1507,76.91,4.27
Vardø,40,NO,1651962668,78,70.3705,31.1107,35.17,26.8
Panāgar,1,IN,1651962669,23,23.3,79.9833,84.43,3.27
Lajoskomárom,100,HU,1651962669,71,46.842,18.3376,59.49,3.0
Yenagoa,95,NG,1651962670,95,4.9247,6.2642,77.63,3.65
Barsukovskaya,93,RU,1651962670,82,44.7632,41.8191,42.94,2.39
Aleksandrov Gay,100,RU,1651962670,47,50.147,48.5704,47.34,12.57
Chapadinha,90,BR,1651962671,96,-3.7417,-43.3603,73.78,2.53
Coyhaique,75,CL,1651962671,94,-45.5752,-72.0662,56.01,5.75
Meïganga,99,CM,1651962672,93,6.5167,14.3,66.56,1.99
Bathsheba,20,BB,1651962526,78,13.2167,-59.5167,81.21,11.5
New Norfolk,92,AU,1651962672,74,-42.7826,147.0587,53.1,2.98
Santa Isabel Rio Negro,92,BR,1651962673,96,-0.4139,-65.0192,73.96,1.57
Dubti,15,ET,1651962674,46,11.7361,41.0853,88.95,14.74
Pandan,35,PH,1651962407,86,14.0453,124.1694,80.51,11.86
Narsaq,100,GL,1651962674,63,60.9167,-46.05,50.22,7.78
Tuatapere,100,NZ,1651962675,97,-46.1333,167.6833,56.79,3.62
Cockburn Town,40,TC,1651962675,69,21.4612,-71.1419,80.56,6.91
Tabou,100,CI,1651962675,81,4.423,-7.3528,81.39,8.25
Qusar,100,AZ,1651962676,95,41.4273,48.4289,45.99,2.33
Laguna,0,US,1651962676,32,38.421,-121.4238,76.95,3.44
Lavrentiya,84,RU,1651962677,87,65.5833,-171.0,32.11,6.44
Saint George,0,US,1651962677,13,37.1041,-113.5841,91.63,18.41
Antofagasta,49,CL,1651962678,87,-23.65,-70.4,61.88,3.87
Brownfield,47,US,1651962679,4,33.1812,-102.2744,100.94,20.94
Tamuín,0,MX,1651962679,31,21.9833,-98.75,103.6,14.25
Notre-Dame-du-Lac,0,CA,1651962680,46,47.6136,-68.7964,50.34,5.61
Christchurch,84,NZ,1651962680,83,-43.5333,172.6333,66.47,1.14
Necochea,39,AR,1651962680,74,-38.5473,-58.7368,60.78,10.13
Jalu,92,LY,1651962681,42,29.0331,21.5482,69.85,13.02
Eureka,33,US,1651962681,71,40.8021,-124.1637,57.74,5.99
Grandview,0,US,1651962682,53,38.8858,-94.533,74.07,11.5
Vuktyl,68,RU,1651962682,93,63.8567,57.3094,37.53,6.8
Flic en Flac,20,MU,1651962683,78,-20.2742,57.3631,77.52,11.54
Hobyo,26,SO,1651962683,77,5.3505,48.5268,82.85,22.57
Moyo,94,UG,1651962683,78,3.6609,31.7247,68.85,2.46
Lata,100,PT,1651962684,64,40.1629,-8.3327,63.07,1.45
Xichang,81,CN,1651962684,82,27.8964,102.2634,61.57,1.74
Bawku,97,GH,1651962685,48,11.0616,-0.2417,86.97,2.37
Takoradze,74,GH,1651962685,81,4.8845,-1.7554,81.14,6.55
Ahipara,35,NZ,1651962686,64,-35.1667,173.1667,66.0,2.33
Kirkwall,95,GB,1651962686,87,58.9848,-2.9587,43.97,6.91
Nauta,100,PE,1651962687,96,-4.5061,-73.5757,74.44,1.86
Kaduna,100,NG,1651962687,60,10.5222,7.4383,77.43,8.37
Berlevåg,93,NO,1651962688,97,70.8578,29.0864,35.4,24.74
Auki,97,SB,1651962688,75,-8.7676,160.7034,83.34,4.85
Zyukayka,34,RU,1651962688,80,58.2025,54.7003,41.27,6.93
Srednekolymsk,94,RU,1651962689,83,67.45,153.6833,26.1,8.9
Erenhot,1,CN,1651962689,22,43.6475,111.9767,46.29,11.12
Bilibino,100,RU,1651962690,84,68.0546,166.4372,30.76,2.57
Sulangan,43,PH,1651962690,79,11.1373,123.7228,82.49,14.74
Saskylakh,22,RU,1651962691,93,71.9167,114.0833,8.04,10.16
Sitka,40,US,1651962691,57,57.0531,-135.33,49.89,9.22
Manjhanpur,0,IN,1651962692,26,25.5333,81.3833,85.51,5.7
Sundsvall,4,SE,1651962692,56,62.3913,17.3063,39.16,12.66
Acajutla,73,SV,1651962693,69,13.5928,-89.8275,84.56,5.93
Napier City,47,NZ,1651962693,88,-39.4833,176.9167,59.29,1.01
Esperance,98,AU,1651962693,48,-33.8667,121.9,51.64,17.31
Kysyl-Syr,100,RU,1651962694,93,63.8986,122.7617,37.13,8.59
Port Hedland,35,AU,1651962694,43,-20.3167,118.5667,69.85,9.22
Olinda,75,BR,1651962695,83,-8.0089,-34.8553,78.53,11.5
Kenai,0,US,1651962695,50,60.5544,-151.2583,58.03,10.36
Ganzhou,100,CN,1651962696,95,28.8184,115.4327,68.43,2.77
Nizhneangarsk,100,RU,1651962696,75,55.7833,109.55,35.33,1.68
Ivanovka,3,KG,1651962697,56,42.8878,75.085,63.73,4.97
Brookside,100,US,1651962697,85,39.6671,-75.7269,48.97,20.71
Kovdor,26,RU,1651962698,76,67.5662,30.4758,30.43,11.77
Suntar,100,RU,1651962698,90,62.1444,117.6319,41.58,11.5
Ranau,100,MY,1651962698,91,5.9538,116.6641,71.49,0.2
Port Elizabeth,20,ZA,1651962699,76,-33.918,25.5701,60.31,4.61
Narasingāpuram,100,IN,1651962699,71,13.6167,79.3333,84.0,2.73
Şarkîkaraağaç,5,TR,1651962700,70,38.0794,31.3664,42.17,1.63
San Cristobal,84,VE,1651962489,81,7.7669,-72.225,75.38,5.32
Lázaro Cárdenas,89,MX,1651962700,59,17.9583,-102.2,82.58,12.97
Östersund,100,SE,1651962701,86,63.1792,14.6357,33.62,12.66
Klaksvík,96,FO,1651962701,81,62.2266,-6.589,43.72,10.42
Champerico,85,GT,1651962701,70,14.3,-91.9167,95.54,7.74
Den Helder,20,NL,1651962702,81,52.9599,4.7593,51.03,13.0
Sulina,9,RO,1651962702,67,45.1559,29.6536,49.8,1.92
Taitung City,75,TW,1651962703,94,22.7583,121.1444,73.67,3.44
Abu Samrah,11,SY,1651962703,70,35.3029,37.1841,55.44,10.45
Kīhei,20,US,1651962704,67,20.785,-156.4656,82.42,23.02
Pangnirtung,97,CA,1651962704,84,66.1451,-65.7125,19.67,2.21
Port Blair,75,IN,1651962705,79,11.6667,92.75,84.24,12.66
Miles City,75,US,1651962705,42,46.4083,-105.8406,63.57,24.16
Shenjiamen,100,CN,1651962705,94,29.9576,122.298,61.68,7.49
Ottumwa,0,US,1651962706,40,41.02,-92.4113,75.74,12.66
Kutum,52,SD,1651962706,10,14.2,24.6667,74.91,7.09
Coquimbo,100,CL,1651962707,77,-29.9533,-71.3436,58.73,5.75
Bilma,100,NE,1651962707,13,18.6853,12.9164,92.73,6.04
Peruíbe,85,BR,1651962708,76,-24.32,-46.9983,65.26,0.47
Nakusp,100,CA,1651962708,66,50.2499,-117.8023,50.47,1.14
Kavaratti,27,IN,1651962536,72,10.5669,72.642,84.13,11.18
Sarangani,98,PH,1651962709,78,5.4033,125.4636,83.19,19.55
Nelson Bay,3,AU,1651962709,69,-32.7167,152.15,56.1,3.0
Lepaterique,81,HN,1651962710,77,14.0667,-87.4667,65.8,3.2
Vostok,100,RU,1651962710,77,46.4856,135.8833,36.28,6.58
Turochak,73,RU,1651962710,97,52.2576,87.1224,34.88,2.46
Rangāpāra,42,IN,1651962711,77,26.8167,92.65,73.0,3.29
Mahébourg,19,MU,1651962711,76,-20.4081,57.7,77.25,14.16
Mlonggo,18,ID,1651962712,86,-6.5333,110.7,78.91,4.81
Tessalit,40,ML,1651962712,12,20.1986,1.0114,83.86,12.91
Faya,89,SA,1651962713,44,18.3851,42.4509,68.11,1.1
San Andrés,40,CO,1651962713,84,12.5847,-81.7006,84.22,6.91
Ca Mau,80,VN,1651962714,86,9.1769,105.15,79.52,5.48
Shahr-e Bābak,79,IR,1651962714,46,30.1165,55.1186,61.59,4.29
Talnakh,4,RU,1651962715,85,69.4865,88.3972,11.21,12.15
Heihe,0,CN,1651962715,30,50.2441,127.4902,34.38,5.79
Pokhara,94,NP,1651962521,74,28.2333,83.9833,67.39,5.17
Manta,100,EC,1651962716,83,-0.95,-80.7333,76.78,13.8
Mâncio Lima,40,BR,1651962716,66,-7.6142,-72.8958,86.07,4.61
Kununurra,15,AU,1651962716,35,-15.7667,128.7333,71.58,8.05
Diego de Almagro,92,CL,1651962717,66,-26.3667,-70.05,56.23,4.38
Viedma,15,AR,1651962481,33,-40.8135,-62.9967,69.53,14.99
Vágur,97,FO,1651962717,79,61.4732,-6.8119,44.74,13.53
Liverpool,20,GB,1651962718,83,53.4106,-2.9779,55.62,9.22
Villa María,93,AR,1651962718,67,-32.4075,-63.2402,64.29,9.95
Coahuayana Viejo,86,MX,1651962719,56,18.7333,-103.6833,83.71,7.25
Ishigaki,100,JP,1651962719,94,24.3448,124.1572,75.33,2.3
Vavoua,92,CI,1651962720,77,7.3819,-6.4778,77.29,3.04
Muyezerskiy,89,RU,1651962720,90,63.9333,31.65,35.78,9.35
Nurobod,4,UZ,1651962721,46,40.9056,69.8023,70.88,7.92
Dourbali,99,TD,1651962721,27,11.8091,15.8632,94.91,6.02
Gorontalo,97,ID,1651962455,96,0.5412,123.0595,76.08,2.08
Pevek,100,RU,1651962722,85,69.7008,170.3133,27.73,2.55
Ancud,100,CL,1651962524,88,-41.8697,-73.8203,56.53,16.91
Nainpur,1,IN,1651962722,29,22.4333,80.1167,81.99,3.15
Harper,100,LR,1651962528,82,4.375,-7.7169,81.28,7.9
Yangi Marg`ilon,0,UZ,1651962723,59,40.4272,71.7189,66.92,6.91
Gualaquiza,44,EC,1651962723,97,-3.4,-78.55,66.56,1.16
Lensk,100,RU,1651962723,78,60.7253,114.9278,44.67,14.5
Pingliang,80,CN,1651962724,77,35.5392,106.6861,60.04,2.1
Brae,77,GB,1651962507,67,60.3964,-1.353,43.05,2.17
Salinópolis,91,BR,1651962725,86,-0.6136,-47.3561,78.44,7.09
